#T(K), Kl_SlackLow(W/mK), Kl_SlackSim(W/mK), Kl_CahillLow(W/mK), Cv(J/molK), S(J/molK), S_Debye(J/molK), H(eV), mpf(µm)
10.0000 0.0001 1.2720 0.0000 0.0336 0.0112 0.0115 -0.0000 13700.6680
20.0000 0.0007 0.6360 0.0002 0.2688 0.0896 0.0921 -0.0000 856.2918
30.0000 0.0022 0.4240 0.0005 0.9070 0.3023 0.3107 -0.0000 169.1440
40.0000 0.0053 0.3180 0.0012 2.1500 0.7167 0.7366 -0.0000 53.5182
50.0000 0.0103 0.2544 0.0024 4.1993 1.3998 1.4386 -0.0001 21.9211
60.0000 0.0179 0.2120 0.0041 7.2563 2.4188 2.4849 -0.0001 10.5715
70.0000 0.0284 0.1817 0.0065 11.5228 3.8409 3.9397 -0.0003 5.7062
80.0000 0.0423 0.1590 0.0097 17.2002 5.7334 5.8565 -0.0005 3.3449
90.0000 0.0601 0.1413 0.0137 24.0226 8.1460 8.2706 -0.0008 2.1288
100.0000 0.0822 0.1272 0.0185 31.7888 11.0708 11.1954 -0.0011 1.4479
110.0000 0.1088 0.1156 0.0241 40.3662 14.4974 14.6220 -0.0016 1.0366
120.0000 0.1401 0.1060 0.0305 49.5054 18.3984 18.5230 -0.0023 0.7748
130.0000 0.1764 0.0978 0.0376 58.9635 22.7331 22.8576 -0.0030 0.6005
140.0000 0.2178 0.0909 0.0453 68.5257 27.4526 27.5772 -0.0040 0.4798
150.0000 0.2642 0.0848 0.0535 78.0151 32.5048 32.6294 -0.0050 0.3933
160.0000 0.3157 0.0795 0.0621 87.2944 37.8375 37.9620 -0.0062 0.3295
170.0000 0.3723 0.0748 0.0712 96.2637 43.4006 43.5251 -0.0076 0.2813
180.0000 0.4339 0.0707 0.0805 104.8544 49.1479 49.2725 -0.0091 0.2439
190.0000 0.5006 0.0669 0.0902 113.0243 55.0380 55.1625 -0.0108 0.2143
200.0000 0.5722 0.0636 0.1000 120.7512 61.0337 61.1583 -0.0126 0.1906
210.0000 0.6487 0.0606 0.1099 128.0283 67.1031 67.2277 -0.0146 0.1712
220.0000 0.7300 0.0578 0.1200 134.8598 73.2184 73.3429 -0.0166 0.1551
230.0000 0.8161 0.0553 0.1302 141.2578 79.3559 79.4804 -0.0189 0.1417
240.0000 0.9069 0.0530 0.1404 147.2395 85.4956 85.6201 -0.0212 0.1302
250.0000 1.0025 0.0509 0.1507 152.8255 91.6207 91.7453 -0.0237 0.1205
260.0000 1.1026 0.0489 0.1610 158.0381 97.7174 97.8420 -0.0263 0.1120
270.0000 1.2074 0.0471 0.1713 162.9003 103.7740 103.8986 -0.0290 0.1046
280.0000 1.3167 0.0454 0.1817 167.4351 109.7813 109.9058 -0.0318 0.0982
290.0000 1.4305 0.0439 0.1920 171.6651 115.7314 115.8560 -0.0347 0.0925
300.0000 1.5488 0.0424 0.2023 175.6119 121.6184 121.7430 -0.0377 0.0874
310.0000 1.6716 0.0410 0.2126 179.2961 127.4375 127.5620 -0.0409 0.0828
320.0000 1.7988 0.0398 0.2229 182.7371 133.1848 133.3094 -0.0441 0.0787
330.0000 1.9304 0.0385 0.2331 185.9529 138.8577 138.9823 -0.0474 0.0750
340.0000 2.0664 0.0374 0.2434 188.9604 144.4542 144.5787 -0.0508 0.0716
350.0000 2.2068 0.0363 0.2536 191.7754 149.9727 150.0973 -0.0543 0.0686
360.0000 2.3515 0.0353 0.2637 194.4122 155.4125 155.5371 -0.0579 0.0658
370.0000 2.5006 0.0344 0.2739 196.8842 160.7733 160.8979 -0.0616 0.0632
380.0000 2.6539 0.0335 0.2840 199.2037 166.0550 166.1796 -0.0653 0.0608
390.0000 2.8116 0.0326 0.2941 201.3820 171.2579 171.3824 -0.0691 0.0586
400.0000 2.9735 0.0318 0.3041 203.4296 176.3825 176.5071 -0.0730 0.0566
410.0000 3.1398 0.0310 0.3142 205.3558 181.4296 181.5542 -0.0770 0.0547
420.0000 3.3103 0.0303 0.3242 207.1697 186.4002 186.5248 -0.0810 0.0529
430.0000 3.4850 0.0296 0.3341 208.8791 191.2952 191.4198 -0.0851 0.0512
440.0000 3.6641 0.0289 0.3441 210.4916 196.1159 196.2405 -0.0893 0.0497
450.0000 3.8473 0.0283 0.3540 212.0139 200.8634 200.9880 -0.0936 0.0482
460.0000 4.0348 0.0277 0.3639 213.4522 205.5392 205.6637 -0.0979 0.0469
470.0000 4.2266 0.0271 0.3737 214.8125 210.1444 210.2690 -0.1023 0.0456
480.0000 4.4225 0.0265 0.3836 216.0999 214.6806 214.8052 -0.1067 0.0444
490.0000 4.6227 0.0260 0.3934 217.3194 219.1491 219.2736 -0.1112 0.0432
500.0000 4.8271 0.0254 0.4032 218.4755 223.5512 223.6758 -0.1157 0.0421
510.0000 5.0357 0.0249 0.4129 219.5723 227.8885 228.0131 -0.1203 0.0411
520.0000 5.2486 0.0245 0.4227 220.6136 232.1624 232.2870 -0.1250 0.0401
530.0000 5.4656 0.0240 0.4324 221.6031 236.3742 236.4987 -0.1297 0.0392
540.0000 5.6868 0.0236 0.4421 222.5439 240.5252 240.6498 -0.1345 0.0383
550.0000 5.9123 0.0231 0.4518 223.4391 244.6170 244.7415 -0.1393 0.0375
560.0000 6.1419 0.0227 0.4614 224.2916 248.6507 248.7753 -0.1442 0.0366
570.0000 6.3757 0.0223 0.4711 225.1039 252.6278 252.7524 -0.1491 0.0359
580.0000 6.6137 0.0219 0.4807 225.8785 256.5495 256.6741 -0.1541 0.0351
590.0000 6.8559 0.0216 0.4903 226.6175 260.4172 260.5417 -0.1591 0.0344
600.0000 7.1023 0.0212 0.4999 227.3231 264.2319 264.3565 -0.1642 0.0337
610.0000 7.3528 0.0209 0.5095 227.9971 267.9950 268.1196 -0.1693 0.0331
620.0000 7.6076 0.0205 0.5191 228.6415 271.7076 271.8322 -0.1745 0.0325
630.0000 7.8665 0.0202 0.5286 229.2579 275.3709 275.4955 -0.1797 0.0319
640.0000 8.1296 0.0199 0.5382 229.8478 278.9860 279.1106 -0.1849 0.0313
650.0000 8.3969 0.0196 0.5477 230.4128 282.5540 282.6786 -0.1902 0.0307
660.0000 8.6683 0.0193 0.5572 230.9541 286.0760 286.2005 -0.1956 0.0302
670.0000 8.9440 0.0190 0.5667 231.4730 289.5530 289.6775 -0.2009 0.0297
680.0000 9.2238 0.0187 0.5762 231.9708 292.9859 293.1105 -0.2064 0.0292
690.0000 9.5078 0.0184 0.5856 232.4485 296.3759 296.5005 -0.2118 0.0287
700.0000 9.7959 0.0182 0.5951 232.9072 299.7239 299.8485 -0.2173 0.0282
710.0000 10.0882 0.0179 0.6045 233.3479 303.0307 303.1553 -0.2229 0.0278
720.0000 10.3847 0.0177 0.6140 233.7715 306.2974 306.4220 -0.2284 0.0273
730.0000 10.6854 0.0174 0.6234 234.1788 309.5247 309.6493 -0.2340 0.0269
740.0000 10.9902 0.0172 0.6328 234.5707 312.7135 312.8381 -0.2397 0.0265
750.0000 11.2992 0.0170 0.6422 234.9479 315.8647 315.9893 -0.2454 0.0261
760.0000 11.6123 0.0167 0.6516 235.3111 318.9791 319.1036 -0.2511 0.0257
770.0000 11.9296 0.0165 0.6610 235.6610 322.0574 322.1819 -0.2569 0.0254
780.0000 12.2511 0.0163 0.6704 235.9983 325.1004 325.2250 -0.2627 0.0250
790.0000 12.5768 0.0161 0.6798 236.3234 328.1088 328.2334 -0.2685 0.0247
800.0000 12.9066 0.0159 0.6891 236.6371 331.0835 331.2081 -0.2744 0.0243
810.0000 13.2405 0.0157 0.6985 236.9397 334.0250 334.1496 -0.2803 0.0240
820.0000 13.5787 0.0155 0.7078 237.2319 336.9341 337.0586 -0.2862 0.0237
